央视,#genre#
海南卫视,http://120.4.126.153:1234/947472502
海南卫视,http://119.185.70.185:1234/947472502
海峡卫视,http://47.243.12.199:8880/849119120
海峡卫视,http://120.4.126.153:1234/849119120
海峡卫视,http://119.185.70.185:1234/849119120
中国农林卫视,http://47.243.12.199:8880/956904896
中国农林卫视,http://120.4.126.153:1234/956904896
中国农林卫视,http://119.185.70.185:1234/956904896
兵团卫视,http://47.243.12.199:8880/956923145
兵团卫视,http://120.4.126.153:1234/956923145
兵团卫视,http://119.185.70.185:1234/956923145
宁夏卫视,http://47.243.12.199:8880/738910535
宁夏卫视,http://120.4.126.153:1234/738910535
宁夏卫视,http://119.185.70.185:1234/738910535
重庆卫视,http://47.243.12.199:8880/738910914
重庆卫视,http://120.4.126.153:1234/738910914
重庆卫视,http://119.185.70.185:1234/738910914
三沙卫视,http://47.243.12.199:8880/961023778
三沙卫视,http://120.4.126.153:1234/961023778
三沙卫视,http://119.185.70.185:1234/961023778

地方,#genre#
上海新闻综合,http://47.243.12.199:8880/651632657
上海新闻综合,http://120.4.126.153:1234/651632657
上海新闻综合,http://119.185.70.185:1234/651632657
上视东方影视,http://47.243.12.199:8880/617290047
上视东方影视,http://120.4.126.153:1234/617290047
上视东方影视,http://119.185.70.185:1234/617290047
上海第一财经,http://47.243.12.199:8880/608780988
上海第一财经,http://120.4.126.153:1234/608780988
上海第一财经,http://119.185.70.185:1234/608780988
南京新闻综合频道,http://47.243.12.199:8880/838109047
南京新闻综合频道,http://120.4.126.153:1234/838109047
南京新闻综合频道,http://119.185.70.185:1234/838109047
南京教科频道,http://47.243.12.199:8880/838153729
南京教科频道,http://120.4.126.153:1234/838153729
南京教科频道,http://119.185.70.185:1234/838153729
南京十八频道,http://47.243.12.199:8880/838151753
南京十八频道,http://120.4.126.153:1234/838151753
南京十八频道,http://119.185.70.185:1234/838151753
体育休闲频道,http://47.243.12.199:8880/626064707
体育休闲频道,http://120.4.126.153:1234/626064707
体育休闲频道,http://119.185.70.185:1234/626064707
江苏城市频道,http://47.243.12.199:8880/626064714
江苏城市频道,http://120.4.126.153:1234/626064714
江苏城市频道,http://119.185.70.185:1234/626064714
江苏国际,http://47.243.12.199:8880/626064674
江苏国际,http://120.4.126.153:1234/626064674
江苏国际,http://119.185.70.185:1234/626064674
江苏教育,http://47.243.12.199:8880/628008321
江苏教育,http://120.4.126.153:1234/628008321
江苏教育,http://119.185.70.185:1234/628008321
江苏影视频道,http://47.243.12.199:8880/626064697
江苏影视频道,http://120.4.126.153:1234/626064697
江苏影视频道,http://119.185.70.185:1234/626064697
江苏综艺频道,http://47.243.12.199:8880/626065193
江苏综艺频道,http://120.4.126.153:1234/626065193
江苏综艺频道,http://119.185.70.185:1234/626065193
公共新闻频道,http://47.243.12.199:8880/626064693
公共新闻频道,http://120.4.126.153:1234/626064693
公共新闻频道,http://119.185.70.185:1234/626064693
盐城新闻综合,http://47.243.12.199:8880/639731825
盐城新闻综合,http://120.4.126.153:1234/639731825
盐城新闻综合,http://119.185.70.185:1234/639731825
淮安新闻综合,http://47.243.12.199:8880/639731826
淮安新闻综合,http://120.4.126.153:1234/639731826
淮安新闻综合,http://119.185.70.185:1234/639731826
泰州新闻综合,http://47.243.12.199:8880/639731818
泰州新闻综合,http://120.4.126.153:1234/639731818
泰州新闻综合,http://119.185.70.185:1234/639731818
连云港新闻综合,http://47.243.12.199:8880/639731715
连云港新闻综合,http://120.4.126.153:1234/639731715
连云港新闻综合,http://119.185.70.185:1234/639731715
宿迁新闻综合,http://47.243.12.199:8880/639731832
宿迁新闻综合,http://120.4.126.153:1234/639731832
宿迁新闻综合,http://119.185.70.185:1234/639731832
徐州新闻综合,http://47.243.12.199:8880/639731747
徐州新闻综合,http://120.4.126.153:1234/639731747
徐州新闻综合,http://119.185.70.185:1234/639731747
优漫卡通频道,http://47.243.12.199:8880/626064703
优漫卡通频道,http://120.4.126.153:1234/626064703
优漫卡通频道,http://119.185.70.185:1234/626064703
江阴新闻综合,http://47.243.12.199:8880/955227979
江阴新闻综合,http://120.4.126.153:1234/955227979
江阴新闻综合,http://119.185.70.185:1234/955227979
南通新闻综合,http://47.243.12.199:8880/955227985
南通新闻综合,http://120.4.126.153:1234/955227985
南通新闻综合,http://119.185.70.185:1234/955227985
宜兴新闻综合,http://47.243.12.199:8880/955227996
宜兴新闻综合,http://120.4.126.153:1234/955227996
宜兴新闻综合,http://119.185.70.185:1234/955227996
溧水新闻综合,http://47.243.12.199:8880/639737327
溧水新闻综合,http://120.4.126.153:1234/639737327
